ts_utc,ssid,bssid_hash,auth,encryption,signal_percent,rssi_dbm_est,radio_type,band,channel,connected_stations,channel_utilization_pct,medium_available_capacity
2026-01-15T04:59:35.498327+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T05:00:35.691182+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:01:35.829562+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:02:35.961924+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T05:03:36.107688+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:04:36.258038+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,88,-56.0,802.11n,2.4 GHz,11,6,4,31250
2026-01-15T05:05:36.389779+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:06:36.519495+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:07:36.647649+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,4,31250
2026-01-15T05:08:36.777827+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,3,31250
2026-01-15T05:09:36.897032+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:10:37.027822+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,82,-59.0,802.11n,2.4 GHz,11,6,5,31250
